Relations,URL
A,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355180/A-labelled_sed7ad.png
B,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355180/B-labelled_jppjzn.png
C,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355181/C-labelled_h4kxsi.png
D,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355181/D-labelled_sbsek7.png
E,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355182/E-labelled_bovjls.png
F,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355180/F-labelled_kxce14.png
G,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355180/G-labelled_oxmqrx.png
H,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355181/H-labelled_lbiwjc.png
I (Alphabet),https://res.cloudinary.com/dfph32nsq/image/upload/v1730355182/I-labelled_p4zjxd.png
J,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355182/J-labelled_k4o6y3.png
K,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355182/K-labelled_ti6ypj.png
L,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355182/L-labelled_vuydr9.png
M,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355182/M-labelled_bsovuc.png
N,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355183/N-labelled_p8wypu.png
O,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355183/O-labelled_lhvsun.png
P,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355198/P-labelled_fzfe3d.png
Q,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355198/Q-labelled_gvyepx.png
R,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355198/R-labelled_fxi6de.png
S,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355199/S-labelled_fjph3z.png
T,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355199/T-labelled_blzhjl.png
U,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355204/U-labelled_blgp2r.png
V,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355204/V-labelled_rndws0.png
W,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355204/W-labelled_lpl5ga.png
X,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355204/X-labelled_bk8rem.png
Y,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355204/Y-labelled_najbm5.png
Z,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355180/Z-labelled_g2fqxi.png
0,https://res.cloudinary.com/dfph32nsq/image/upload/v1728468140/0_num_hzxxvg.png
1,https://res.cloudinary.com/dfph32nsq/image/upload/v1728468141/1_num_exnnlu.png
2,https://res.cloudinary.com/dfph32nsq/image/upload/v1728468143/2_num_tb62qp.png
3,https://res.cloudinary.com/dfph32nsq/image/upload/v1728468140/3_num_qb0ovx.png
4,https://res.cloudinary.com/dfph32nsq/image/upload/v1728468141/4_num_vbwkaj.png
5,https://res.cloudinary.com/dfph32nsq/image/upload/v1728468142/5_num_c2sbks.png
6,https://res.cloudinary.com/dfph32nsq/image/upload/v1728468143/6_num_rygxkv.png
7,https://res.cloudinary.com/dfph32nsq/image/upload/v1728468144/7_num_iblbw8.png
8,https://res.cloudinary.com/dfph32nsq/image/upload/v1728468144/8_num_qm8gci.png
9,https://res.cloudinary.com/dfph32nsq/image/upload/v1728468139/9_num_cpzgzn.png
10,https://res.cloudinary.com/dfph32nsq/image/upload/v1728468139/10_num_k0k0h7.png
Girl Child,https://res.cloudinary.com/dfph32nsq/video/upload/v1730267226/girl_child_size_reduced_ai2wft.mp4
